IVT call address printout

 Vector | CS   | IP   |
   00DA | 0000 | 0000 |
   00DB | 0000 | 0000 |
   00DC | 0000 | 0000 |
   00DD | 0000 | 0000 |
   00DE | 0000 | 0000 |
   00DF | 0000 | 0000 |
   00E0 | 0000 | 0000 |
   00E1 | 0000 | 0000 |
   00E2 | 0000 | 0000 |
   00E3 | 0000 | 0000 |
   00E4 | 0000 | 0000 |
   00E5 | 0000 | 0000 |
   00E6 | 0000 | 0000 |
   00E7 | 0000 | 0000 |
   00E8 | 0000 | 0000 |
   00E9 | 0000 | 0000 |
   00EA | 0000 | 0000 |
   00EB | 0000 | 0000 |
   00EC | 0000 | 0000 |
   00ED | 0000 | 0000 |
   00EE | 0000 | 0000 |
   00EF | 0000 | 0000 |
   00F0 | 0000 | 0000 |
   00F1 | 0000 | 0000 |
   00F2 | 0000 | 0000 |
   00F3 | 0000 | 0000 |
   00F4 | 0000 | 0000 |
   00F5 | 0000 | 0000 |
   00F6 | 0000 | 0000 |
   00F7 | 0000 | 0000 |
   00F8 | 0000 | 0000 |
   00F9 | 0000 | 0000 |
   00FA | 0000 | 0000 |
   00FB | 0000 | 0000 |
   00FC | 0000 | 0000 |
   00FD | 0000 | 0000 |
   00FE | 0000 | 0000 |
   00FF | 0000 | 0000 |
